# meep=1.28.0 res=30.0 cols=t,Ez1,Ez2 dt=4.004 c_err=0.0011 echo=0.0000
8.500000000000000000e+00,-2.846684333449125970e-02,-1.705499541360401517e-04
8.550000000000000711e+00,-3.078331799584255180e-02,-1.961293126968937880e-04
8.599999999999999645e+00,-3.242608401829597670e-02,-2.194296052350064698e-04
8.650000000000000355e+00,-3.328067830045715325e-02,-2.392139099255881124e-04
8.700000000000001066e+00,-3.324659886011878396e-02,-2.539121460137318850e-04
8.750000000000000000e+00,-3.224035848834620743e-02,-2.626294187673013352e-04
8.800000000000000711e+00,-3.020107928702134292e-02,-2.637200220771596560e-04
8.849999999999999645e+00,-2.709301067765063423e-02,-2.559627659780847118e-04
8.900000000000000355e+00,-2.291038116170330402e-02,-2.384413065183150322e-04
8.950000000000001066e+00,-1.767879301721841934e-02,-2.097371331077242120e-04
9.000000000000000000e+00,-1.145869480567585606e-02,-1.694336532796836064e-04
9.050000000000000711e+00,-4.345101287646003022e-03,-1.168931011369493678e-04
9.099999999999999645e+00,3.530866923169108124e-03,-5.181634096711928490e-05
9.150000000000000355e+00,1.200436631374152997e-02,2.517802197523957559e-05
9.200000000000001066e+00,2.087760595780755943e-02,1.137833356969368873e-04
9.250000000000000000e+00,2.992455323297377873e-02,2.125045071834992701e-04
9.300000000000000711e+00,3.889415584259395264e-02,3.196042594788944509e-04
9.349999999999999645e+00,4.751731228157961284e-02,4.329937528828378939e-04
9.400000000000000355e+00,5.551236314558558038e-02,5.494004808956603342e-04
9.450000000000001066e+00,6.259394847065333223e-02,6.657800093164013139e-04
9.500000000000000000e+00,6.848025843721650130e-02,7.779559413423823948e-04
9.550000000000000711e+00,7.290307633918746699e-02,8.815370084903877005e-04
9.600000000000001421e+00,7.561596482677615527e-02,9.720078395886672454e-04
9.650000000000000355e+00,7.640451160202590963e-02,1.043988663478888183e-03
9.700000000000001066e+00,7.509437886377465232e-02,1.092751303907902195e-03
9.750000000000000000e+00,7.156057533673743087e-02,1.112965262459684893e-03
9.800000000000000711e+00,6.573415833814399978e-02,1.099839394346851639e-03
9.850000000000001421e+00,5.760929152951538290e-02,1.049129855143346099e-03
9.900000000000000355e+00,4.724739690911153311e-02,9.567207797634432560e-04
9.950000000000001066e+00,3.478085167188448013e-02,8.200831058689590954e-04
1.000000000000000000e+01,2.041356194366421642e-02,6.370429845010398178e-04
1.005000000000000071e+01,4.420415103103834953e-03,4.072114484569777583e-04
1.010000000000000142e+01,-1.285641190471401712e-02,1.315601171426228799e-04
1.015000000000000036e+01,-3.101270813565949747e-02,-1.875521309253718990e-04
1.020000000000000107e+01,-4.959038906204059349e-02,-5.453784010640296519e-04
1.025000000000000000e+01,-6.808738132824482259e-02,-9.360148621140524424e-04
1.030000000000000071e+01,-8.596987565863935254e-02,-1.350933647062868906e-03
1.035000000000000142e+01,-1.026861560000471574e-01,-1.780140493933122636e-03
1.040000000000000036e+01,-1.176819605048587819e-01,-2.211697052083446812e-03
1.045000000000000107e+01,-1.304169746883200309e-01,-2.631732108237291867e-03
1.050000000000000000e+01,-1.403817592899613553e-01,-3.025493047514929250e-03
1.055000000000000071e+01,-1.471151250371712516e-01,-3.376393055349552301e-03
1.060000000000000142e+01,-1.502206640842564389e-01,-3.667826007037347166e-03
1.065000000000000036e+01,-1.493828961335252892e-01,-3.882406182404731215e-03
1.070000000000000107e+01,-1.443812277742052563e-01,-4.003276687798819691e-03
1.075000000000000000e+01,-1.351026725930791761e-01,-4.014569843750899827e-03
1.080000000000000071e+01,-1.215511152052716759e-01,-3.901538607334680345e-03
1.085000000000000142e+01,-1.038546027726084675e-01,-3.652272362696132486e-03
1.090000000000000036e+01,-8.226813277590777629e-02,-3.257028449971669654e-03
1.095000000000000107e+01,-5.717399700849015720e-02,-2.710271543355195680e-03
1.100000000000000000e+01,-2.907693183947507309e-02,-2.010182183090553250e-03
1.105000000000000071e+01,1.403263992215967454e-03,-1.159870914972450581e-03
1.110000000000000142e+01,3.354453291740056020e-02,-1.677895555720887162e-04
1.115000000000000036e+01,6.653752012255703674e-02,9.524449613551041289e-04
1.120000000000000107e+01,9.950566610637751053e-02,2.180824646951853678e-03
1.125000000000000000e+01,1.315265948569392662e-01,3.492218315046632070e-03
1.130000000000000071e+01,1.616578310052557144e-01,4.855152554831062769e-03
1.135000000000000142e+01,1.889625023744824217e-01,6.233348643412081093e-03
1.140000000000000036e+01,2.125381316299316536e-01,7.585491863106867856e-03
1.145000000000000107e+01,2.315437618637181671e-01,8.866314821627486673e-03
1.150000000000000000e+01,2.452286313357979197e-01,1.002787356300075330e-02
1.155000000000000071e+01,2.529573544548195940e-01,1.102000978932626135e-02
1.160000000000000142e+01,2.542350011733205406e-01,1.179290775580270519e-02
1.165000000000000036e+01,2.487268852581243084e-01,1.229735053446189171e-02
1.170000000000000107e+01,2.362767092099108401e-01,1.248775614965044398e-02
1.175000000000000000e+01,2.169178748651807709e-01,1.232287560362094886e-02
1.180000000000000071e+01,1.908819410227750313e-01,1.176837844229125171e-02
1.185000000000000142e+01,1.585991699278185563e-01,1.079840605628592902e-02
1.190000000000000036e+01,1.206955398589045908e-01,9.397083249888610323e-03
1.195000000000000107e+01,7.798140678981983764e-02,7.560802556146105011e-03
1.200000000000000000e+01,3.143662101784250318e-02,5.298542294641032761e-03
1.205000000000000071e+01,-1.781240740772355863e-02,2.634224671502396337e-03
1.210000000000000142e+01,-6.851846764763135089e-02,-3.938694302025340030e-04
1.215000000000000036e+01,-1.193463042068785840e-01,-3.731582302836022966e-03
1.220000000000000107e+01,-1.689067767099445005e-01,-7.309947093476659372e-03
1.225000000000000000e+01,-2.157962903242744424e-01,-1.104529527973927873e-02
1.230000000000000071e+01,-2.586356371143495592e-01,-1.484053979871222291e-02
1.235000000000000142e+01,-2.961118837503785572e-01,-1.858725880594672489e-02
1.240000000000000036e+01,-3.270173198489643163e-01,-2.216722148401930464e-02
1.245000000000000107e+01,-3.502889815533243856e-01,-2.545625148552428663e-02
1.250000000000000000e+01,-3.650428056562371459e-01,-2.832626095006917158e-02
1.255000000000000071e+01,-3.706059398894580581e-01,-3.065024365185128191e-02
1.260000000000000142e+01,-3.665414820595603862e-01,-3.230511773380388696e-02
1.265000000000000036e+01,-3.526693183485388738e-01,-3.317697068250211045e-02
1.270000000000000107e+01,-3.290777163835140184e-01,-3.316480475207603945e-02
1.275000000000000000e+01,-2.961296031177880206e-01,-3.218517602543148615e-02
