# meep=1.28.0 res=25.0 lam=1.55 f=6.0 y_focus=5.80 fwhm=0.625 dl=0.904 eff=0.420 cols=x_um,intensity
7.875000000000000000e+00,4.021391167948414752e-02
7.937500000000000000e+00,4.314798511760391253e-02
8.000000000000000000e+00,4.695649735481031983e-02
8.062500000000000000e+00,5.033680230480965662e-02
8.125000000000000000e+00,5.368919424894895431e-02
8.187500000000000000e+00,5.635872746798264304e-02
8.250000000000000000e+00,5.857117977741037318e-02
8.312500000000000000e+00,6.008203680111080108e-02
8.375000000000000000e+00,6.054554692441001251e-02
8.437500000000000000e+00,6.006812700758153156e-02
8.500000000000000000e+00,5.824422834846414154e-02
8.562500000000000000e+00,5.597673540278867710e-02
8.625000000000000000e+00,5.303658741727940162e-02
8.687500000000000000e+00,4.985483898923497720e-02
8.750000000000000000e+00,4.622462123482586754e-02
8.812500000000000000e+00,4.243322131200454733e-02
8.875000000000000000e+00,3.875986634522081420e-02
8.937500000000000000e+00,3.521617528344093973e-02
9.000000000000000000e+00,3.211914485202936598e-02
9.062500000000000000e+00,2.915522626370665310e-02
9.125000000000000000e+00,2.666114729763593288e-02
9.187500000000000000e+00,2.447986244342946482e-02
9.250000000000000000e+00,2.271692557596124637e-02
9.312500000000000000e+00,2.126716154487624799e-02
9.375000000000000000e+00,1.999778678213052358e-02
9.437500000000000000e+00,1.888870566382616287e-02
9.500000000000000000e+00,1.776748362686095262e-02
9.562500000000000000e+00,1.679129519814217056e-02
9.625000000000000000e+00,1.593112566066392025e-02
9.687500000000000000e+00,1.522109259137966603e-02
9.750000000000000000e+00,1.458127130671751925e-02
9.812500000000000000e+00,1.404444710733517530e-02
9.875000000000000000e+00,1.359873101674623913e-02
9.937500000000000000e+00,1.318040811538448431e-02
1.000000000000000000e+01,1.277679372361987913e-02
