# meep=1.28.0 res=30.0 lam=1.55 cols=d_um,T_rel_substrate,phase_rad circular_cover=6.20rad
4.849999999999999867e-01,7.122711761457947155e-01,1.538417809065242142e-02
4.880000000000001004e-01,7.601037187103668602e-01,8.516788407130840288e-02
4.899999999999999911e-01,7.509240649614891128e-01,1.155244994541526626e-01
4.920000000000001039e-01,7.344795146050234758e-01,1.267871132545311252e-01
4.949999999999999956e-01,7.911084665007623862e-01,1.512302816994884613e-01
4.960000000000001075e-01,8.131510383755409244e-01,1.597262585693569326e-01
5.000000000000000000e-01,1.001078637935030491e+00,2.437642299571344540e-01
5.000000000000001110e-01,1.001078637935039151e+00,2.437642299571419757e-01
5.040000000000001146e-01,1.190715167062134761e+00,4.615482260188945585e-01
5.050000000000000044e-01,1.199692921560272296e+00,5.316805687039529715e-01
5.080000000000001181e-01,1.038574883866703047e+00,7.645598096698431601e-01
5.100000000000000089e-01,7.996793604664741428e-01,9.332936935737959905e-01
5.120000000000001217e-01,5.509991455301779251e-01,1.104902388133576441e+00
5.150000000000000133e-01,2.134875499686934019e-01,1.346235807887429914e+00
5.160000000000001252e-01,1.236913968034296513e-01,1.409771619602412152e+00
5.200000000000000178e-01,1.558248100626285181e-02,-1.989726568472687807e-01
5.200000000000001288e-01,1.558248100626465418e-02,-1.989726568473095814e-01
5.240000000000001323e-01,2.149425510144087614e-01,-5.593265786389434169e-01
5.250000000000000222e-01,2.882530852495922002e-01,-4.923253550241233900e-01
5.280000000000001359e-01,4.764055711481636202e-01,-2.717598870910231112e-01
5.300000000000000266e-01,5.413489817402431514e-01,-1.291889523086012237e-01
5.320000000000001394e-01,5.463301638868613974e-01,-2.949146390620916228e-02
5.349999999999999201e-01,4.594993573191876735e-01,-1.158717984113866520e-02
5.360000000000001430e-01,4.694469877612343356e-01,-1.381384443268540360e-02
5.400000000000000355e-01,5.552236017121466860e-01,-2.414265248158585855e-02
5.400000000000001465e-01,5.552236017121494616e-01,-2.414265248158232666e-02
5.440000000000001501e-01,7.134268595699251314e-01,7.661051634659479803e-02
5.449999999999999289e-01,7.285388743786251897e-01,1.042515364234142122e-01
5.480000000000001537e-01,7.194550926313225681e-01,1.733109689854898106e-01
5.499999999999999334e-01,7.186092771757424114e-01,2.223406795559695892e-01
5.520000000000000462e-01,6.831591429463456100e-01,2.445167224929035155e-01
5.549999999999999378e-01,6.548870564931194016e-01,2.225234972237494224e-01
5.560000000000000497e-01,6.828045596299922027e-01,2.251082105733878957e-01
5.599999999999999423e-01,8.069756927363970211e-01,2.701448224134906373e-01
